Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J7,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical_SMD,142.25,-64.02,-90,bottom
C1,30pF 0Ohm,C_0201_0603Metric,148.5,-96.62,90,top
C2,10uF 1mOhm,C_0805_2012Metric,142.25,-91.8,90,top
C3,0.1uF,C_0402_1005Metric,131.05,-101.85,0,top
C4,0.1uF,C_0402_1005Metric,131.05,-100.9,180,top
C5,.022uF,C_0402_1005Metric,129.2,-101.85,0,top
C6,100uF,C_1210_3225Metric,136.454085,-102.24247,0,top
C7,0.1uF,C_0402_1005Metric,118.1,-101.85,0,top
C8,0.1uF,C_0402_1005Metric,118.1,-100.85,180,top
C9,.022uF,C_0402_1005Metric,116.22,-101.85,0,top
C10,100uF,C_1210_3225Metric,123.454085,-102.24247,0,top
C11,0.1uF,C_0402_1005Metric,144.040196,-101.845085,0,top
C12,0.1uF,C_0402_1005Metric,144.05,-100.925,180,top
C13,.022uF,C_0402_1005Metric,142.2,-101.85,0,top
C14,100uF,C_1210_3225Metric,149.454085,-102.24247,0,top
C15,10uF 1mOhm,C_0805_2012Metric,140.25,-91.8,90,top
C16,220uF 50v,CP_Elec_10x10,131,-94.95,180,top
C17,4.7uF 1mOhm,C_0603_1608Metric,143,-95.1,0,top
C18,2.2nF 0Ohm,C_0201_0603Metric,147.4,-94.9765,-90,top
C19,10uF 1mOhm,C_0805_2012Metric,138.25,-91.8,90,top
C20,16nF 0Ohm,C_0201_0603Metric,147.4,-96.6,90,top
C22,100nf 280mOhm,C_0402_1005Metric,147.6,-90,135,top
C23,47uF 3mOhm,C_1210_3225Metric,150.7,-82.8,180,top
C24,22uF 16v,C_0603_1608Metric,149.1,-79.7,90,top
C25,22uF 16v,C_0603_1608Metric,138.6,-85.4,-90,top
C26,0.1uF,C_0402_1005Metric,159.637174,-95.54739,0,top
C27,0.1uF,C_0402_1005Metric,161.461164,-95.551743,0,top
C28,.022uF,C_0402_1005Metric,157.8,-95.55,0,top
C29,100uF,C_1210_3225Metric,162.25,-93.1,0,top
C30,100nF,C_0402_1005Metric,152.2,-70.1,180,top
C31,100nF,C_0402_1005Metric,159.353757,-71.448755,-90,top
C32,1uF,C_0603_1608Metric,150.5,-70.6,90,top
D1,LED,LED_0805_2012Metric,112,-105.76,180,top
D2,LED,LED_0805_2012Metric,112,-103.5,180,top
D3,LED,LED_0805_2012Metric,112,-108,180,top
J1,USB4520-03-0-A_REVA,USB-C-SMD_TYPEC-303-ACP16,170.575315,-77.542881,90,top
J2,~,SW_SPST_TL3342,164.5,-87,-90,top
J3,~,SW_SPST_TL3342,170.7,-87,-90,top
J4,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical_SMD,142.24489,-63.992132,90,top
J6,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,136.53,-105.81,-90,top
J8,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,123.53,-105.81,-90,top
J10,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,149.53,-105.81,-90,top
J11,~,CONN-TH_DC-005-2.5A-2.0,120.5,-96.9635,0,top
J13,I2C_STANDARDQWIIC,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,171.475,-95.55,-90,top
J14,BM05B-SRSS-TB_LF__SN_,JST_BM05B-SRSS-TB_LF__SN_,122.5,-114.75,180,top
J15,I2C_STANDARDQWIIC,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,171.475,-103.932,-90,top
J16,BM05B-SRSS-TB_LF__SN_,JST_BM05B-SRSS-TB_LF__SN_,135.5,-114.75,180,top
J18,BM05B-SRSS-TB_LF__SN_,JST_BM05B-SRSS-TB_LF__SN_,148.5,-114.75,180,top
J20,BM05B-SRSS-TB_LF__SN_,JST_BM05B-SRSS-TB_LF__SN_,161.5,-114.75,180,top
J22,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,162.53,-105.81,-90,top
L1,3.3uH 14.3mOhm,IND-SMD_L6.6-W6.4_CKSTT0610,152.5,-88.6,90,top
R1,1k,R_0402_1005Metric,114.25,-105.5,90,top
R2,1k,R_0402_1005Metric,114.25,-103.5,90,top
R3,1k,R_0402_1005Metric,114.261,-108.089001,90,top
R4,5k1,R_0402_1005Metric,167,-78.425,0,top
R5,5k1,R_0402_1005Metric,171,-72.1,0,top
R6,0,R_0402_1005Metric,161.877,-78.279,0,top
R7,0,R_0402_1005Metric,161.866,-77.093,0,top
R8,5k1,R_0402_1005Metric,165.9,-91.875,180,top
R9,5k1,R_0402_1005Metric,167.875,-91.875,0,top
R10,10k,R_0402_1005Metric,128.275,-110.675,0,top
R11,10k,R_0402_1005Metric,127.75,-101.4,-90,top
R12,10k,R_0402_1005Metric,116.5,-110.6,0,top
R13,10k,R_0402_1005Metric,114.75,-101.4,-90,top
R14,10k,R_0402_1005Metric,141.275,-110.675,0,top
R15,10k,R_0402_1005Metric,140.75,-101.4,-90,top
R16,102k,R_0402_1005Metric,148.9,-94.5765,180,top
R17,36.5k,R_0402_1005Metric,148.9,-93.5765,0,top
R18,53.6k,R_0402_1005Metric,143.8,-89.55,90,top
R19,4.02k,R_0402_1005Metric,146.2,-96.8,-90,top
R24,53.6k,R_0402_1005Metric,145.2,-96.8,90,top
R25,10k,R_0402_1005Metric,143.7,-96.4,180,top
R30,5k1,R_0402_1005Metric,167.3,-100.15,0,top
R31,5k1,R_0402_1005Metric,166.325,-99,180,top
R32,5k1,R_0402_1005Metric,162.7,-110.7,0,top
R33,5k1,R_0402_1005Metric,160.7,-110.7,0,top
R36,10k,R_0402_1005Metric,156.4,-104.8,-90,top
R37,10k,R_0402_1005Metric,156.2,-96.1,-90,top
R38,2k,R_0402_1005Metric,153.6,-75,90,top
R39,2k,R_0402_1005Metric,149.7,-74.1,-90,top
R46,1k,R_0402_1005Metric,151.4,-73.5,180,top
R49,1k,R_0402_1005Metric,156.8625,-73.5675,0,top
R50,1k,R_0402_1005Metric,155.071957,-69.834954,90,top
Rmode1,20k,R_0402_1005Metric,130.825,-112.14,-90,top
Rmode2,20k,R_0402_1005Metric,117.825,-112.125,-90,top
Rmode3,20k,R_0402_1005Metric,143.825,-112.125,-90,top
Rmode4,20k,R_0402_1005Metric,158.45,-105.825,-90,top
Rp1,4.87k,R_0402_1005Metric,129.825,-112.14,-90,top
Rp2,4.87k,R_0402_1005Metric,116.825,-112.125,-90,top
Rp3,4.87k,R_0402_1005Metric,142.85,-112.125,-90,top
Rp4,4.87k,R_0402_1005Metric,158.5,-108.2,90,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,125.76,-79.656,90,top
U2,USBLC6-2P6,SOT-666,164.547,-77.5,180,top
U3,DRV8874PWPR,HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,130.4735,-106.15,0,top
U4,DRV8874PWPR,HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,117.4735,-106.15,0,top
U5,DRV8874PWPR,HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,143.4735,-106.15,0,top
U6,TPS54620RHLR,VQFN-14_L3.5-W3.5-P0.50-TL-EP_TPS54622RHLT,145.6,-92.4,0,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,143.8,-82.8,180,top
U9,DRV8874PWPR,HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,159.1735,-100.025,0,top
U10,LIS3MDLTR,LIS3MDLTR_LGA-12,152.341957,-71.787954,180,top
U11,LSM6DS3TR,LSM6DSOTR_LGA-14,157.081,-70.85,0,top
