Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,68pf,
"C10, C14, C29, C6",1210,4,100uF 25v,
"C11, C12, C26, C27, C3, C4, C7, C8",0402,8,0.1uF 16v,
"C13, C28, C5, C9",0402,4,.022uF,
"C15, C19, C2",0805,3,4.7uF 1mOhm,
C16,CP_Elec_10x10,1,220uF 50v,
C17,0603,1,4.7uF 1mOhm,
C18,0402,1,2.2nF 0Ohm,
C20,0402,1,6.8nf,
C22,0402,1,100nf 280mOhm,
C23,1210,1,47uF 3mOhm,
"C24, C25",0603,2,22uF 16v,
"C30, C31",0402,2,100nF,
C32,0603,1,1uF,
D1,0805,1,LED GREEN,
D2,0805,1,LED BLUE,
D3,0805,1,LED RED,
D4,TO-277_3P-L5.4-W4.0-LS6.5-TR,1,Schottky_SB1045L_C908747 10A,
J1,USB-C-SMD_TYPEC-303-ACP16,1,USB4520-03-0-A_REVA,
"J10, J22, J6, J8",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
J11,CONN-TH_DC-005-2.5A-2.0,1,~,
"J13, J15",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,2,I2C_STANDARDQWIIC,
"J14, J16, J18, J20",JST_BM05B-SRSS-TB_LF__SN_,4,BM05B-SRSS-TB_LF__SN_,
"J2, J3",SW_SPST_TL3342,2,C2886897,
"J4, J7",PinSocket_2x20_P2.54mm_Vertical_SMD,2,Conn_02x20_Odd_Even,
L1,IND-SMD_L6.6-W6.4_CKSTT0610,1,2.2uH 12.7mOhm C5440776,
"R1, R2, R3, R46, R49, R50",0402,6,1k,
"R10, R11, R12, R13, R14, R15, R25, R36, R37",0402,9,10k,
R16,0402,1,102k,
R17,0402,1,36.5k,
"R18, R24",0402,2,53.6k,
R19,0402,1,3.92k,
"R30, R31, R32, R33, R4, R5, R8, R9",0402,8,5k1,
"R38, R39",0402,2,2k,
"R6, R7",0402,2,0,
"RMODE1, RMODE2, RMODE3, RMODE4",0402,4,20k,
"RP1, RP2, RP3, RP4",0402,4,4.87k,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U10,LIS3MDLTR_LGA-12,1,LIS3MDLTR,
U11,LSM6DSOTR_LGA-14,1,LSM6DS3TR,
U2,SOT-666,1,USBLC6-2P6,
"U3, U4, U5, U9",HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,4,DRV8874PWPR,
U6,VQFN-14_L3.5-W3.5-P0.50-TL-EP_TPS54622RHLT,1,TPS54620RHLR,
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,
