Designator,Mid X,Mid Y,Rotation,Layer
C1,146.7872,-96.9316,0,top
C10,123.454085,-102.24247,0,top
C11,144.040196,-101.845085,0,top
C12,144.05,-100.925,180,top
C13,142.2,-101.85,0,top
C14,149.454085,-102.24247,0,top
C15,140.25,-91.8,90,top
C16,131,-94.95,0,top
C17,143,-95.1,0,top
C18,147.346,-95.1028,270,top
C19,138.25,-91.8,90,top
C2,142.25,-91.8,90,top
C20,145.4156,-96.576,90,top
C22,148.3,-90.8,90,top
C23,150.7,-82.8,180,top
C24,149.1,-79.7,90,top
C25,138.6,-85.4,270,top
C26,159.637174,-95.54739,0,top
C27,161.461164,-95.551743,0,top
C28,157.8,-95.55,0,top
C29,162.25,-93.1,0,top
C3,131.05,-101.85,0,top
C30,148,-69.8625,180,top
C31,155,-71.2,270,top
C32,147.6508,-73.5128,0,top
C4,131.05,-100.9,180,top
C5,129.2,-101.85,0,top
C6,136.454085,-102.24247,0,top
C7,118.1,-101.85,0,top
C8,118.1,-100.85,180,top
C9,116.22,-101.85,0,top
D1,112,-105.76,180,top
D2,112,-103.5,180,top
D3,112,-108,180,top
D4,155.42,-81.9685,0,top
J1,170.575315,-77.542881,90,top
J10,149.55,-107.08,270,top
J11,116.9365,-95.1,0,top
J13,171.475,-95.55,270,top
J14,122.5,-114.75,0,top
J15,171.475,-103.932,270,top
J16,135.5,-114.75,0,top
J18,148.5,-114.75,0,top
J2,164.5,-87,90,top
J20,161.5,-114.75,0,top
J22,162.55,-107.08,270,top
J3,170.7,-87,270,top
J4,142.24489,-63.992132,90,top
J6,136.55,-107.08,180,top
J7,142.25,-64.02,180,bottom
J8,123.55,-107.08,270,top
L1,152.503451,-88.912,90,top
R1,114.25,-105.5,90,top
R10,128.275,-110.675,0,top
R11,127.75,-101.4,270,top
R12,116.5,-110.6,0,top
R13,114.75,-101.4,270,top
R14,141.275,-110.675,0,top
R15,140.75,-101.4,270,top
R16,148.9,-94.5765,180,top
R17,148.9,-93.5765,0,top
R18,143.8,-89.55,90,top
R19,146.3808,-95.5092,270,top
R2,114.25,-103.5,90,top
R24,148.87,-87.3304,270,top
R25,143.7,-96.4,180,top
R3,114.261,-108.089001,90,top
R30,165.8,-96.8,0,top
R31,166.325,-99,180,top
R32,158.5,-110,270,top
R33,157.3,-109.6,270,top
R36,156.4,-104.8,270,top
R37,156.2,-96.1,270,top
R38,149.9,-72.4625,90,top
R39,150.9,-72.4625,90,top
R4,167,-78.425,0,top
R46,151.7148,-73.9192,0,top
R49,153.19,-72.9625,0,top
R5,167.2,-75.1,90,top
R50,150.871957,-69.597454,90,top
R6,161.877,-78.279,0,top
R7,161.866,-77.093,0,top
R8,165.9,-91.875,180,top
R9,167.875,-91.875,0,top
RMODE1,130.825,-112.14,270,top
RMODE2,117.825,-112.125,270,top
RMODE3,143.825,-112.125,270,top
RMODE4,158.45,-105.825,270,top
RP1,129.825,-112.14,270,top
RP2,116.825,-112.125,270,top
RP3,142.85,-112.125,270,top
RP4,158.5,-108.1,90,top
U1,125.6848,-79.672,90,top
U10,148.141957,-71.343454,180,top
U11,152.881,-70.83775,0,top
U2,164.547,-77.5,90,top
U3,130.2,-106.15,270,top
U4,117.2,-106.15,270,top
U5,143.2,-106.15,270,top
U6,145.6,-92.133,0,top
U8,143.8,-83.7236,0,top
U9,158.9,-100.025,270,top
